scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_ipsl6_ssp245_2cal_00925,FL_ipsl6_ssp245_2cal_01208,FL_ipsl6_ssp245_2cal_01388,FL_ipsl6_ssp245_2cal_03440,FL_ipsl6_ssp245_2cal_00434,FL_ipsl6_ssp245_2cal_00411","{""FL_ipsl6_ssp245_2cal_00925"": 0.801681204179031, ""FL_ipsl6_ssp245_2cal_01208"": 0.7342478771443514, ""FL_ipsl6_ssp245_2cal_01388"": 0.7670600320252788, ""FL_ipsl6_ssp245_2cal_03440"": 0.8223534062698715, ""FL_ipsl6_ssp245_2cal_00434"": 0.7900135027423422, ""FL_ipsl6_ssp245_2cal_00411"": 0.7099531754669853}",8951556586.488365,7175682660.956208,1775873925.5321565,844727780.8378712,3368718700.1010537,0.0,2587290800.4470334,374945379.5702501,844727780.8378712,3368718700.1010537,144352111.88833982,1631521813.6438167,28.903250238649385,4.188605366537024,9.43665800105557,37.63276998310949,1.6125922960284627,18.226124114620067,2587290800.4470334,374945379.5702501,144352111.88833982,1,0,1,Castle Key Indemnity Co.,,12393337.90375628,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,236961045.3840246,0.0,539937478.65,359958319.1,0.0,144352111.88833982,144352111.88833982,1395853723.0,144352111.88833982,0.0,False,374848.86067200004,374848.86067200004,0.0,1.0,374848.86067200004,0.0,1089999999.9999998,0.0,7,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_ipsl6_ssp245_2cal_01250,FL_ipsl6_ssp245_2cal_00685,FL_ipsl6_ssp245_2cal_03605,FL_ipsl6_ssp245_2cal_01103","{""FL_ipsl6_ssp245_2cal_01250"": 0.8123962527051113, ""FL_ipsl6_ssp245_2cal_00685"": 0.9205316590107878, ""FL_ipsl6_ssp245_2cal_03605"": 0.6733834193140124, ""FL_ipsl6_ssp245_2cal_01103"": 0.7420328740995595}",1079701730.8619342,940788839.0349594,138912891.82697466,174917211.34362254,427110913.57963794,0.0,295511353.423653,43249360.68804596,174917211.34362254,427110913.57963794,12824407.33422549,126088484.49274915,27.369721190290587,4.005676702353683,16.200512265918547,39.558231812657375,1.1877731569428593,11.678084871836942,295511353.423653,43249360.68804596,12824407.33422549,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,12824407.33422549,12824407.33422549,1395853723.0,12824407.33422549,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,714999999.9999999,0.0,6,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_ipsl6_ssp245_2cal_01765,FL_ipsl6_ssp245_2cal_03166,FL_ipsl6_ssp245_2cal_01319","{""FL_ipsl6_ssp245_2cal_01765"": 0.8685022282594902, ""FL_ipsl6_ssp245_2cal_03166"": 0.8564480555654514, ""FL_ipsl6_ssp245_2cal_01319"": 0.8029923863052799}",26062324220.071262,22635186658.753174,3427137561.3180895,4313422251.780628,8673829626.08457,0.0,7958419629.523283,1689515151.364694,4313422251.780628,8673829626.08457,453778314.06471187,2973359247.2533774,30.536108607667078,6.482595861744193,16.550412831019695,33.281105525518065,1.74112757647012,11.408649597580855,7958419629.523283,1689515151.364694,453778314.06471187,12,8,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.,229389637.9683148,4,25.563137285625935,329622731.5082661,0.0,0,1.0,331418134.5204022,417542580.0,597500316.6216218,539937478.65,359958319.1,539937478.65,359958319.1,0.0,453778314.06471187,453778314.06471187,1395853723.0,453778314.06471187,0.0,False,62359380.2892211,62359380.2892211,0.0,1.0,62359380.2892211,0.0,1633793065.107975,0.0,12,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_ipsl6_ssp245_2cal_01216,FL_ipsl6_ssp245_2cal_00842,FL_ipsl6_ssp245_2cal_03257,FL_ipsl6_ssp245_2cal_01927,FL_ipsl6_ssp245_2cal_03144","{""FL_ipsl6_ssp245_2cal_01216"": 0.8807056152452823, ""FL_ipsl6_ssp245_2cal_00842"": 0.9765965201673884, ""FL_ipsl6_ssp245_2cal_03257"": 0.7986030887706117, ""FL_ipsl6_ssp245_2cal_01927"": 0.748047283010878, ""FL_ipsl6_ssp245_2cal_03144"": 0.9171359127543597}",97390215.63200775,77776127.0197573,19614088.612250455,19552860.93983503,42122453.01254455,0.0,14764265.501367837,1336547.5660098821,19552860.93983503,42122453.01254455,3896690.917397463,15717397.694852995,15.159906367961149,1.3723632885875032,20.07682272079177,43.25121649972075,4.001111294507492,16.138579828431347,14764265.501367837,1336547.5660098821,3896690.917397463,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1336547.5660098821,0.0,539937478.65,359958319.1,0.0,3896690.917397463,3896690.917397463,1395853723.0,3896690.917397463,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_ipsl6_ssp245_2cal_01766,FL_ipsl6_ssp245_2cal_03456,FL_ipsl6_ssp245_2cal_01519,FL_ipsl6_ssp245_2cal_01201,FL_ipsl6_ssp245_2cal_03185","{""FL_ipsl6_ssp245_2cal_01766"": 0.9147775145108845, ""FL_ipsl6_ssp245_2cal_03456"": 0.8493694612736804, ""FL_ipsl6_ssp245_2cal_01519"": 0.9580942990760638, ""FL_ipsl6_ssp245_2cal_01201"": 0.7907436554716536, ""FL_ipsl6_ssp245_2cal_03185"": 0.9272035855835594}",259235261.65034005,207389411.5309858,51845850.11935425,45148989.98426994,89814595.80059057,0.0,60995403.73858046,11430422.007544812,45148989.98426994,89814595.80059057,8108618.0135752065,43737232.105779044,23.528976478844868,4.409285193216622,17.41622250647657,34.64597957423465,3.1278993304978,16.871636916729486,60995403.73858046,11430422.007544812,8108618.0135752065,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,9469347.617198274,0.0,539937478.65,359958319.1,0.0,8108618.0135752065,8108618.0135752065,1395853723.0,8108618.0135752065,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,12425825.746125266,0.0,1,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_ipsl6_ssp245_2cal_03415,FL_ipsl6_ssp245_2cal_03602,FL_ipsl6_ssp245_2cal_00416,FL_ipsl6_ssp245_2cal_03796,FL_ipsl6_ssp245_2cal_01101,FL_ipsl6_ssp245_2cal_03024","{""FL_ipsl6_ssp245_2cal_03415"": 0.9192649074923438, ""FL_ipsl6_ssp245_2cal_03602"": 0.6397976976019587, ""FL_ipsl6_ssp245_2cal_00416"": 0.912818918980074, ""FL_ipsl6_ssp245_2cal_03796"": 0.9822579283693215, ""FL_ipsl6_ssp245_2cal_01101"": 0.9763994505523251, ""FL_ipsl6_ssp245_2cal_03024"": 0.8449754006601158}",25775097853.40973,25231892123.50261,543205729.9071181,3909503116.92998,10108123124.323763,0.0,9684050326.246883,1530215556.0019813,3909503116.92998,10108123124.323763,75636942.25430067,467568787.65281737,37.57134262427563,5.9367982410959215,15.16775276340144,39.216623664482356,0.29344968032505386,1.8140330264195825,9684050326.246883,1530215556.0019813,75636942.25430067,15,11,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,325014244.91343087,4,28.09578743922402,454498684.41353273,0.0,0,1.0,772320546.2804265,389573760.0,481415804.36386895,539937478.65,359958319.1,539937478.65,359958319.1,0.0,75636942.25430067,75636942.25430067,1395853723.0,75636942.25430067,0.0,False,12851060.8837838,12851060.8837838,0.0,1.0,12851060.8837838,0.0,1748797522.586991,0.0,12,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_ipsl6_ssp245_2cal_02690,FL_ipsl6_ssp245_2cal_01541,FL_ipsl6_ssp245_2cal_00899,FL_ipsl6_ssp245_2cal_01016,FL_ipsl6_ssp245_2cal_01864","{""FL_ipsl6_ssp245_2cal_02690"": 0.8406685083274023, ""FL_ipsl6_ssp245_2cal_01541"": 0.8850672580588927, ""FL_ipsl6_ssp245_2cal_00899"": 0.9204653664593923, ""FL_ipsl6_ssp245_2cal_01016"": 0.8306427495343965, ""FL_ipsl6_ssp245_2cal_01864"": 0.7001986971882944}",86420802708.76875,63683251292.436554,22737551416.332203,7703135325.739064,35454213831.76009,0.0,18943029074.449497,1582873060.4878893,7703135325.739064,35454213831.76009,6386427865.11902,16351123551.213184,21.919524559712784,1.8315880099170634,8.913519759470436,41.025092015446766,7.389919631550722,18.920356023902222,18943029074.449497,1582873060.4878893,6386427865.11902,22,15,7,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,1028325847.9171789,7,33.98254315570729,1248759582.9957478,0.0,0,1.0,3541952580.5493627,324564540.0,589020647.7181044,539937478.65,359958319.1,539937478.65,359958319.1,2945427865.1190205,6386427865.11902,3441000000.0,1395853723.0,1395853723.0,0.0,False,2162834930.265499,2162834930.265499,0.0,1.0,2162834930.265499,0.0,2087504631.9283106,0.0,13,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_ipsl6_ssp245_2cal_03401,FL_ipsl6_ssp245_2cal_03538,FL_ipsl6_ssp245_2cal_01895","{""FL_ipsl6_ssp245_2cal_03401"": 0.99436340382072, ""FL_ipsl6_ssp245_2cal_03538"": 0.9023900330290558, ""FL_ipsl6_ssp245_2cal_01895"": 0.9174120592002382}",69821376.53979383,69426751.6692523,394624.8705415272,22482384.745574713,29285198.92768689,0.0,17118441.93337696,540726.0626137458,22482384.745574713,29285198.92768689,134172.45598411927,260452.41455740796,24.517479863234314,0.7744419967222583,32.199858925383914,41.943027163029576,0.19216529755418005,0.3730267540757612,17118441.93337696,540726.0626137458,134172.45598411927,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,540726.0626137458,0.0,539937478.65,359958319.1,0.0,134172.45598411927,134172.45598411927,1395853723.0,134172.45598411927,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_ipsl6_ssp245_2cal_03466,FL_ipsl6_ssp245_2cal_00857,FL_ipsl6_ssp245_2cal_03384,FL_ipsl6_ssp245_2cal_03986","{""FL_ipsl6_ssp245_2cal_03466"": 0.7863160095740956, ""FL_ipsl6_ssp245_2cal_00857"": 0.9202343931942999, ""FL_ipsl6_ssp245_2cal_03384"": 0.5133061602208053, ""FL_ipsl6_ssp245_2cal_03986"": 0.8086116701456517}",273268052.69326377,217636193.10882828,55631859.58443547,30781678.703535553,81215481.19547193,0.0,101180248.37364084,4458784.836179938,30781678.703535553,81215481.19547193,7926510.789353884,47705348.79508159,37.02600702000574,1.6316524351219375,11.26428003572272,29.720079019494523,2.9006357352175316,17.45734575443753,101180248.37364084,4458784.836179938,7926510.789353884,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1872376.1476448716,0.0,539937478.65,359958319.1,0.0,7926510.789353884,7926510.789353884,1395853723.0,7926510.789353884,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,61278066.419641554,0.0,2,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_ipsl6_ssp245_2cal_02863,FL_ipsl6_ssp245_2cal_03473,FL_ipsl6_ssp245_2cal_00222,FL_ipsl6_ssp245_2cal_02581,FL_ipsl6_ssp245_2cal_01566","{""FL_ipsl6_ssp245_2cal_02863"": 0.8193732063874546, ""FL_ipsl6_ssp245_2cal_03473"": 0.7841669222251626, ""FL_ipsl6_ssp245_2cal_00222"": 0.8472721395334926, ""FL_ipsl6_ssp245_2cal_02581"": 0.7530423912595645, ""FL_ipsl6_ssp245_2cal_01566"": 0.9780396309028343}",176794351.42907736,140993732.37951604,35800619.04956133,31879315.11295059,70160983.88800216,0.0,36051389.745002136,2902043.633561159,31879315.11295059,70160983.88800216,3152733.6505366624,32647885.399024673,20.391709041374252,1.6414798380735256,18.031862927328458,39.68508231222979,1.7832773643797155,18.46658851661427,36051389.745002136,2902043.633561159,3152733.6505366624,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2902043.633561159,0.0,539937478.65,359958319.1,0.0,3152733.6505366624,3152733.6505366624,1395853723.0,3152733.6505366624,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
year_11,baseline,,"FL_ipsl6_ssp245_2cal_00400,FL_ipsl6_ssp245_2cal_00248,FL_ipsl6_ssp245_2cal_02329,FL_ipsl6_ssp245_2cal_02045,FL_ipsl6_ssp245_2cal_01285,FL_ipsl6_ssp245_2cal_00460,FL_ipsl6_ssp245_2cal_00301,FL_ipsl6_ssp245_2cal_03284","{""FL_ipsl6_ssp245_2cal_00400"": 0.9311731427976728, ""FL_ipsl6_ssp245_2cal_00248"": 0.7883452483831148, ""FL_ipsl6_ssp245_2cal_02329"": 0.89374145812961, ""FL_ipsl6_ssp245_2cal_02045"": 0.8745802589553496, ""FL_ipsl6_ssp245_2cal_01285"": 0.8777948602674949, ""FL_ipsl6_ssp245_2cal_00460"": 0.6998392694994247, ""FL_ipsl6_ssp245_2cal_00301"": 0.8180701369645335, ""FL_ipsl6_ssp245_2cal_03284"": 0.7918854554780227}",17540287097.45535,14067088936.2719,3473198161.1834497,2339213417.386122,4298005289.284871,0.0,6094157479.224827,1335712750.3760788,2339213417.386122,4298005289.284871,410346671.2206044,3062851489.9628463,34.743772695196846,7.615113384146699,13.336232208681936,24.503619954478413,2.3394524213924375,17.461809336103673,6094157479.224827,1335712750.3760788,410346671.2206044,9,6,3,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Edison Insurance Co.;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Edison Insurance Co.,134198628.93525587,3,22.600436402091265,135976306.38116562,0.0,0,1.0,0.0,286411328.23910564,239677256.0898106,539937478.65,359958319.1,539937478.65,359958319.1,0.0,410346671.2206044,410346671.2206044,1395853723.0,410346671.2206044,0.0,False,6962355.157911755,6962355.157911755,0.0,1.0,6962355.157911755,0.0,1386419993.7398996,0.0,10,9464500000.0,9464500000.0,11
year_12,baseline,,"FL_ipsl6_ssp245_2cal_02634,FL_ipsl6_ssp245_2cal_03393,FL_ipsl6_ssp245_2cal_03917,FL_ipsl6_ssp245_2cal_01741,FL_ipsl6_ssp245_2cal_03819","{""FL_ipsl6_ssp245_2cal_02634"": 0.8083993308434784, ""FL_ipsl6_ssp245_2cal_03393"": 0.7857745863810914, ""FL_ipsl6_ssp245_2cal_03917"": 0.9413784720263215, ""FL_ipsl6_ssp245_2cal_01741"": 0.6807238348690549, ""FL_ipsl6_ssp245_2cal_03819"": 0.860618205789181}",300004433.1105597,213559094.1457821,86445338.96477759,40613016.304837495,56794707.33073731,0.0,109700348.62124674,6451021.888960578,40613016.304837495,56794707.33073731,5369806.455528873,81075532.50924872,36.5662425330959,2.150308854463895,13.537472057911392,18.931289361916505,1.7899090356274687,27.024778156984837,109700348.62124674,6451021.888960578,5369806.455528873,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1879945.5296205902,0.0,539937478.65,359958319.1,0.0,5369806.455528873,5369806.455528873,1395853723.0,5369806.455528873,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,82302741.02041464,0.0,2,9464500000.0,9464500000.0,12
year_13,baseline,,"FL_ipsl6_ssp245_2cal_02091,FL_ipsl6_ssp245_2cal_02256,FL_ipsl6_ssp245_2cal_00292","{""FL_ipsl6_ssp245_2cal_02091"": 0.6974635025116609, ""FL_ipsl6_ssp245_2cal_02256"": 0.43089343276603714, ""FL_ipsl6_ssp245_2cal_00292"": 0.40113824301877715}",5319023028.548309,2651021109.4141293,2668001919.1341805,473352302.6968876,1007972296.3487347,0.0,1070903735.9996806,98792774.36882623,473352302.6968876,1007972296.3487347,475536937.4427598,2192464981.691421,20.133466808696188,1.857348122739547,8.89923394120136,18.950327737607765,8.940306046626487,41.21931734312867,1070903735.9996806,98792774.36882623,475536937.4427598,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,6717379.042944208,0.0,539937478.65,359958319.1,0.0,475536937.4427598,475536937.4427598,1395853723.0,475536937.4427598,0.0,False,175340.45232351162,175340.45232351162,0.0,1.0,175340.45232351162,0.0,1090000000.0000002,0.0,7,9464500000.0,9464500000.0,13
year_14,baseline,,"FL_ipsl6_ssp245_2cal_03475,FL_ipsl6_ssp245_2cal_00461,FL_ipsl6_ssp245_2cal_03208,FL_ipsl6_ssp245_2cal_01451","{""FL_ipsl6_ssp245_2cal_03475"": 0.9565816810998605, ""FL_ipsl6_ssp245_2cal_00461"": 0.9263469072859408, ""FL_ipsl6_ssp245_2cal_03208"": 0.8367664567536796, ""FL_ipsl6_ssp245_2cal_01451"": 0.711353486497901}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,14
year_15,baseline,,"FL_ipsl6_ssp245_2cal_01314,FL_ipsl6_ssp245_2cal_00455,FL_ipsl6_ssp245_2cal_03660","{""FL_ipsl6_ssp245_2cal_01314"": 0.883719450657424, ""FL_ipsl6_ssp245_2cal_00455"": 0.541003603943437, ""FL_ipsl6_ssp245_2cal_03660"": 0.9609862142497153}",8229296.273169773,4452078.941703143,3777217.3314666306,604267.5761976474,2267558.920713783,0.0,1409448.6223405027,170803.82245121006,604267.5761976474,2267558.920713783,379698.75960865396,3397518.5718579767,17.12720718217147,2.0755580645223213,7.342882746459859,27.554712401190063,4.613988207553025,41.285651398103276,1409448.6223405027,170803.82245121006,379698.75960865396,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,170803.82245121006,0.0,539937478.65,359958319.1,0.0,379698.75960865396,379698.75960865396,1395853723.0,379698.75960865396,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,15
year_16,baseline,,"FL_ipsl6_ssp245_2cal_00705,FL_ipsl6_ssp245_2cal_02741,FL_ipsl6_ssp245_2cal_03900,FL_ipsl6_ssp245_2cal_02178,FL_ipsl6_ssp245_2cal_03219","{""FL_ipsl6_ssp245_2cal_00705"": 0.7788736963359852, ""FL_ipsl6_ssp245_2cal_02741"": 0.6974770353017747, ""FL_ipsl6_ssp245_2cal_03900"": 0.8441929725680316, ""FL_ipsl6_ssp245_2cal_02178"": 0.8500508077388762, ""FL_ipsl6_ssp245_2cal_03219"": 0.6637902782701514}",5907832441.523411,4587846062.849366,1319986378.6740444,606437792.5659815,1792862462.8516572,0.0,2023874237.6301074,164671569.80162236,606437792.5659815,1792862462.8516572,177239284.72065306,1142747093.9533916,34.257475269698496,2.787343267290764,10.264979560077093,30.34721246070656,3.000072978964678,19.342916463262448,2023874237.6301074,164671569.80162236,177239284.72065306,1,0,1,Castle Key Indemnity Co.,,3896204.9553015977,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,82641174.88950706,0.0,539937478.65,359958319.1,0.0,177239284.72065306,177239284.72065306,1395853723.0,177239284.72065306,0.0,False,429911.1707117623,429911.1707117623,0.0,1.0,429911.1707117623,0.0,1090000000.0000002,0.0,7,9464500000.0,9464500000.0,16
year_17,baseline,,"FL_ipsl6_ssp245_2cal_01874,FL_ipsl6_ssp245_2cal_03308,FL_ipsl6_ssp245_2cal_03369,FL_ipsl6_ssp245_2cal_00196,FL_ipsl6_ssp245_2cal_03356,FL_ipsl6_ssp245_2cal_03861,FL_ipsl6_ssp245_2cal_03246","{""FL_ipsl6_ssp245_2cal_01874"": 0.8159666721411533, ""FL_ipsl6_ssp245_2cal_03308"": 0.8360809197568297, ""FL_ipsl6_ssp245_2cal_03369"": 0.6261071097887436, ""FL_ipsl6_ssp245_2cal_00196"": 0.889475820654995, ""FL_ipsl6_ssp245_2cal_03356"": 0.912165940775981, ""FL_ipsl6_ssp245_2cal_03861"": 0.9516397611011883, ""FL_ipsl6_ssp245_2cal_03246"": 0.7727421467981328}",199549494434.1316,188319734878.79062,11229759555.340963,45155240042.5884,84038509620.2963,0.0,51930332500.364845,7195652715.541097,45155240042.5884,84038509620.2963,1443786645.6962602,9785972909.644701,26.023785551361694,3.6059488579242065,22.62859155350729,42.11411803302573,0.7235230787181139,4.904032925462966,51930332500.364845,7195652715.541097,1443786645.6962602,33,21,12,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;Foremost P&C Insurance Co.;ASI Preferred Insurance Corp.;Nationwide P&C Insurance Co.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Unique Insurance Co.;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;Spinnaker Specialty Ins Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,5337179855.413358,12,35.60316172831571,3210129012.086532,41673301.1395473,1,0.9811320754716981,13067928164.206799,306667560.0,6131762387.650771,539937478.65,359958319.1,539937478.65,359958319.1,0.0,1443786645.6962602,1443786645.6962602,1395853723.0,1395853723.0,0.0,False,11299625073.109901,11299625073.109901,0.0,1.0,11299625073.109901,0.0,2242018624.5540705,0.0,14,9464500000.0,9464500000.0,17
