countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,303985331.91592395
007,Bradford,0.0
009,Brevard,0.0
011,Broward,0.0
013,Calhoun,8570223.633428896
015,Charlotte,0.0
017,Citrus,0.0
019,Clay,0.0
021,Collier,0.0
023,Columbia,0.0
027,DeSoto,0.0
029,Dixie,0.0
031,Duval,0.0
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,1945350.9171288586
039,Gadsden,36472055.555420294
041,Gilchrist,0.0
043,Glades,0.0
045,Gulf,22410427.091332424
047,Hamilton,0.0
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,0.0
057,Hillsborough,0.0
059,Holmes,482499.3143860565
061,Indian River,0.0
063,Jackson,7720172.354486036
065,Jefferson,285004.1092436575
067,Lafayette,0.0
069,Lake,0.0
071,Lee,0.0
073,Leon,608296580.4412619
075,Levy,0.0
077,Liberty,3949278.8119237684
079,Madison,23.492246458620087
081,Manatee,0.0
083,Marion,0.0
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,0.0
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,2.535512070202966
125,Union,0.0
127,Volusia,0.0
129,Wakulla,3852789.765500168
131,Walton,667633.2357715965
133,Washington,1641480.4643772945
nan,,826519.6350463887
