scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_ecearth6_ssp245_2cal_00925,FL_ecearth6_ssp245_2cal_00434,FL_ecearth6_ssp245_2cal_00411,FL_ecearth6_ssp245_2cal_03441,FL_ecearth6_ssp245_2cal_01389","{""FL_ecearth6_ssp245_2cal_00925"": 0.801681204179031, ""FL_ecearth6_ssp245_2cal_00434"": 0.7342478771443514, ""FL_ecearth6_ssp245_2cal_00411"": 0.7670600320252788, ""FL_ecearth6_ssp245_2cal_03441"": 0.8223534062698715, ""FL_ecearth6_ssp245_2cal_01389"": 0.7900135027423422}",5645586175.6317625,4524178902.428051,1121407273.2037115,676476751.1297628,2585136494.507575,0.0,1215818274.947735,46747381.84297721,676476751.1297628,2585136494.507575,80115270.82658413,1041292002.3771273,21.53573140368689,0.8280341560413079,11.98240058843956,45.790400041467585,1.4190779900303077,18.44435582033433,1215818274.947735,46747381.84297721,80115270.82658413,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,6383107.638361537,0.0,539937478.65,359958319.1,0.0,80115270.82658413,80115270.82658413,1395853723.0,80115270.82658413,0.0,False,195721.6707475211,195721.6707475211,0.0,1.0,195721.6707475211,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_ecearth6_ssp245_2cal_00685,FL_ecearth6_ssp245_2cal_01971,FL_ecearth6_ssp245_2cal_01250,FL_ecearth6_ssp245_2cal_03605,FL_ecearth6_ssp245_2cal_03481","{""FL_ecearth6_ssp245_2cal_00685"": 0.8584483702458438, ""FL_ecearth6_ssp245_2cal_01971"": 0.8123962527051113, ""FL_ecearth6_ssp245_2cal_01250"": 0.9205316590107878, ""FL_ecearth6_ssp245_2cal_03605"": 0.6733834193140124, ""FL_ecearth6_ssp245_2cal_03481"": 0.7420328740995595}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_ecearth6_ssp245_2cal_01318,FL_ecearth6_ssp245_2cal_03258,FL_ecearth6_ssp245_2cal_00696,FL_ecearth6_ssp245_2cal_00611,FL_ecearth6_ssp245_2cal_03162,FL_ecearth6_ssp245_2cal_01928,FL_ecearth6_ssp245_2cal_01217,FL_ecearth6_ssp245_2cal_01763","{""FL_ecearth6_ssp245_2cal_01318"": 0.8685022282594902, ""FL_ecearth6_ssp245_2cal_03258"": 0.8564480555654514, ""FL_ecearth6_ssp245_2cal_00696"": 0.8029923863052799, ""FL_ecearth6_ssp245_2cal_00611"": 0.919791757648447, ""FL_ecearth6_ssp245_2cal_03162"": 0.8344893982215632, ""FL_ecearth6_ssp245_2cal_01928"": 0.7852089226003471, ""FL_ecearth6_ssp245_2cal_01217"": 0.9325753297213729, ""FL_ecearth6_ssp245_2cal_01763"": 0.9570459523189867}",48576398134.44513,41578443901.26377,6997954233.181362,10417306264.41634,15575533033.696405,0.0,14802165581.613205,783439021.5378225,10417306264.41634,15575533033.696405,832612369.7868911,6165341863.394472,30.471929064491732,1.6127976787605671,21.445201094540423,32.06399328041558,1.7140265679692137,12.692052313822499,14802165581.613205,783439021.5378225,832612369.7868911,22,14,8,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,702940802.74904,8,33.538670472629846,925749764.8570259,0.0,0,1.0,2375261010.4117227,329466360.0,0.0,539937478.65,187764675.6480074,539937478.65,359958319.1,0.0,832612369.7868911,832612369.7868911,1395853723.0,832612369.7868911,0.0,False,264533007.8996552,264533007.8996552,0.0,1.0,264533007.8996552,0.0,2026487409.8023915,0.0,13,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_ecearth6_ssp245_2cal_01201,FL_ecearth6_ssp245_2cal_01766,FL_ecearth6_ssp245_2cal_03456,FL_ecearth6_ssp245_2cal_01519","{""FL_ecearth6_ssp245_2cal_01201"": 0.9147775145108845, ""FL_ecearth6_ssp245_2cal_01766"": 0.8493694612736804, ""FL_ecearth6_ssp245_2cal_03456"": 0.9580942990760638, ""FL_ecearth6_ssp245_2cal_01519"": 0.7907436554716536}",3930231527.24123,3338218634.9737177,592012892.2675124,482089031.59662807,1360089564.3017483,0.0,1435258983.655796,60781055.41954511,482089031.59662807,1360089564.3017483,19836704.649390027,572176187.6181225,36.518433423265925,1.5465006322975965,12.26617384383519,34.60583822796933,0.5047210199169645,14.558332852715,1435258983.655796,60781055.41954511,19836704.649390027,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,16489180.0802565,0.0,539937478.65,359958319.1,0.0,19836704.649390027,19836704.649390027,1395853723.0,19836704.649390027,0.0,False,249899.24044800003,249899.24044800003,0.0,1.0,249899.24044800003,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_ecearth6_ssp245_2cal_03418,FL_ecearth6_ssp245_2cal_03739,FL_ecearth6_ssp245_2cal_00417,FL_ecearth6_ssp245_2cal_03605","{""FL_ecearth6_ssp245_2cal_03418"": 0.9272035855835594, ""FL_ecearth6_ssp245_2cal_03739"": 0.9419863999772443, ""FL_ecearth6_ssp245_2cal_00417"": 0.9175875248296649, ""FL_ecearth6_ssp245_2cal_03605"": 0.9415278353423164}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_ecearth6_ssp245_2cal_03259,FL_ecearth6_ssp245_2cal_02829,FL_ecearth6_ssp245_2cal_02676,FL_ecearth6_ssp245_2cal_01543,FL_ecearth6_ssp245_2cal_01723,FL_ecearth6_ssp245_2cal_03468","{""FL_ecearth6_ssp245_2cal_03259"": 0.9822579283693215, ""FL_ecearth6_ssp245_2cal_02829"": 0.9763994505523251, ""FL_ecearth6_ssp245_2cal_02676"": 0.8449754006601158, ""FL_ecearth6_ssp245_2cal_01543"": 0.8406685083274023, ""FL_ecearth6_ssp245_2cal_01723"": 0.8850672580588927, ""FL_ecearth6_ssp245_2cal_03468"": 0.9204653664593923}",88947340718.74959,81889901336.75063,7057439381.998957,16314467477.534021,16438401518.714231,0.0,46747619475.83001,2389412864.672349,16314467477.534021,16438401518.714231,2119681782.2632506,4937757599.735706,52.55651163720051,2.686322992193374,18.341714710864903,18.481048883397488,2.383074935276209,5.551326841067499,46747619475.83001,2389412864.672349,2119681782.2632506,29,19,10,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;Castle Key Insurance Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Vault E&S Insurance Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Florida Farm Bureau Cas Ins Co;Universal North America Ins Co;American Platinum P&C Ins Co.,3965245860.2518654,10,35.41856476294073,2037463719.4176989,35036777.64408066,1,0.9811320754716981,8333445194.658628,308706120.0,1411356476.3016953,539937478.65,359958319.1,539937478.65,359958319.1,0.0,2119681782.2632506,2119681782.2632506,1395853723.0,1395853723.0,0.0,False,15815124179.221973,15815124179.221973,0.0,1.0,15815124179.221973,0.0,2125000000.0,0.0,13,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_ecearth6_ssp245_2cal_01286,FL_ecearth6_ssp245_2cal_01445,FL_ecearth6_ssp245_2cal_02350,FL_ecearth6_ssp245_2cal_03540","{""FL_ecearth6_ssp245_2cal_01286"": 0.8306427495343965, ""FL_ecearth6_ssp245_2cal_01445"": 0.7001986971882944, ""FL_ecearth6_ssp245_2cal_02350"": 0.786520243178773, ""FL_ecearth6_ssp245_2cal_03540"": 0.8686319745481839}",4569712845.9507675,3210417943.783984,1359294902.1667829,550902339.9982638,1361334969.5854247,0.0,1074871373.7883687,223309260.41192684,550902339.9982638,1361334969.5854247,142760342.1299719,1216534560.0368109,23.521639324466843,4.886724132125756,12.055513301813255,29.790383235824248,3.124054988629584,26.621685017140294,1074871373.7883687,223309260.41192684,142760342.1299719,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,35798029.84467419,0.0,539937478.65,359958319.1,0.0,142760342.1299719,142760342.1299719,1395853723.0,142760342.1299719,0.0,False,87218.07448098011,87218.07448098011,0.0,1.0,87218.07448098011,0.0,1089999999.9999998,0.0,7,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_ecearth6_ssp245_2cal_02948,FL_ecearth6_ssp245_2cal_03381,FL_ecearth6_ssp245_2cal_00857,FL_ecearth6_ssp245_2cal_03983,FL_ecearth6_ssp245_2cal_03464,FL_ecearth6_ssp245_2cal_00710,FL_ecearth6_ssp245_2cal_00712,FL_ecearth6_ssp245_2cal_00034","{""FL_ecearth6_ssp245_2cal_02948"": 0.9816579686854537, ""FL_ecearth6_ssp245_2cal_03381"": 0.854712741863065, ""FL_ecearth6_ssp245_2cal_00857"": 0.9408337708591721, ""FL_ecearth6_ssp245_2cal_03983"": 0.8692071538949533, ""FL_ecearth6_ssp245_2cal_03464"": 0.9140064429778398, ""FL_ecearth6_ssp245_2cal_00710"": 0.8922614482740803, ""FL_ecearth6_ssp245_2cal_00712"": 0.5615120359098229, ""FL_ecearth6_ssp245_2cal_00034"": 0.7034735661483944}",23516327229.580948,20966438600.150322,2549888629.430627,2624340569.5154514,8227173293.090688,0.0,9109632727.20217,1005292010.3420147,2624340569.5154514,8227173293.090688,279293288.61631835,2270595340.8143086,38.73748072251374,4.274868267173406,11.159653222610034,34.98494136763759,1.1876569240157457,9.655399496049494,9109632727.20217,1005292010.3420147,279293288.61631835,13,9,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.,178281716.55602068,4,27.378800785830194,344434990.9993963,0.0,0,1.0,574906951.4621147,397491660.0,0.0,539937478.65,348530539.4969913,539937478.65,359958319.1,0.0,279293288.61631835,279293288.61631835,1395853723.0,279293288.61631835,0.0,False,735273600.1002146,735273600.1002146,0.0,1.0,735273600.1002146,0.0,1615807532.9977448,0.0,12,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_ecearth6_ssp245_2cal_01629,FL_ecearth6_ssp245_2cal_01287,FL_ecearth6_ssp245_2cal_03289,FL_ecearth6_ssp245_2cal_03193","{""FL_ecearth6_ssp245_2cal_01629"": 0.8010117487463155, ""FL_ecearth6_ssp245_2cal_01287"": 0.9728847129264611, ""FL_ecearth6_ssp245_2cal_03289"": 0.9442205845761165, ""FL_ecearth6_ssp245_2cal_03193"": 0.7224066562617881}",2591602220.549213,2093420185.3121989,498182035.23701394,394475431.6647617,851865198.4654323,0.0,757521929.0610261,89557626.1209787,394475431.6647617,851865198.4654323,40115906.62853441,458066128.60847956,29.22986880681449,3.4556856531014866,15.221295480336655,32.870214098091985,1.5479191332083762,17.675016828447003,757521929.0610261,89557626.1209787,40115906.62853441,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,40115906.62853441,40115906.62853441,1395853723.0,40115906.62853441,0.0,False,153317.51150412907,153317.51150412907,0.0,1.0,153317.51150412907,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_ecearth6_ssp245_2cal_00301,FL_ecearth6_ssp245_2cal_00669,FL_ecearth6_ssp245_2cal_03563,FL_ecearth6_ssp245_2cal_02044,FL_ecearth6_ssp245_2cal_02328","{""FL_ecearth6_ssp245_2cal_00301"": 0.6862123628650092, ""FL_ecearth6_ssp245_2cal_00669"": 0.8975005573692579, ""FL_ecearth6_ssp245_2cal_03563"": 0.8540532193235632, ""FL_ecearth6_ssp245_2cal_02044"": 0.8674281027399016, ""FL_ecearth6_ssp245_2cal_02328"": 0.7717144383252036}",326194223.8458474,283347826.1970179,42846397.64882951,55332615.430221476,125517588.01929778,0.0,89168076.6266558,13329546.120842876,55332615.430221476,125517588.01929778,5581830.328649109,37264567.3201804,27.33588460744626,4.08638324850968,16.963088670868224,38.47940240616117,1.7111983967217537,11.424042670292916,89168076.6266558,13329546.120842876,5581830.328649109,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,6177559.161510855,0.0,539937478.65,359958319.1,0.0,5581830.328649109,5581830.328649109,1395853723.0,5581830.328649109,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,54995245.49499735,0.0,2,9464500000.0,9464500000.0,10
year_11,baseline,,"FL_ecearth6_ssp245_2cal_03918,FL_ecearth6_ssp245_2cal_02635,FL_ecearth6_ssp245_2cal_03820,FL_ecearth6_ssp245_2cal_01046,FL_ecearth6_ssp245_2cal_01742","{""FL_ecearth6_ssp245_2cal_03918"": 0.8083993308434784, ""FL_ecearth6_ssp245_2cal_02635"": 0.7857745863810914, ""FL_ecearth6_ssp245_2cal_03820"": 0.9413784720263215, ""FL_ecearth6_ssp245_2cal_01046"": 0.6807238348690549, ""FL_ecearth6_ssp245_2cal_01742"": 0.860618205789181}",24673727144.420265,19398339178.962646,5275387965.45762,3832778148.5897446,7669817584.476136,0.0,7580615823.274687,315127622.62207884,3832778148.5897446,7669817584.476136,351862676.2012572,4923525289.256363,30.723432171004504,1.2771788420029684,15.53384345281816,31.084957451232064,1.4260621191996432,19.95452596374266,7580615823.274687,315127622.62207884,351862676.2012572,12,8,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.,186569257.23791078,4,25.563137285625935,229608956.30509663,0.0,0,1.0,140837392.57494748,417542580.0,0.0,271097490.12809813,0.0,539937478.65,359958319.1,0.0,351862676.2012572,351862676.2012572,1395853723.0,351862676.2012572,0.0,False,94515305.0315535,94515305.0315535,0.0,1.0,94515305.0315535,0.0,1541623399.8251274,0.0,11,9464500000.0,9464500000.0,11
year_12,baseline,,"FL_ecearth6_ssp245_2cal_02256,FL_ecearth6_ssp245_2cal_02090,FL_ecearth6_ssp245_2cal_02066,FL_ecearth6_ssp245_2cal_03434,FL_ecearth6_ssp245_2cal_00291","{""FL_ecearth6_ssp245_2cal_02256"": 0.97139658992215, ""FL_ecearth6_ssp245_2cal_02090"": 0.43089343276603714, ""FL_ecearth6_ssp245_2cal_02066"": 0.40113824301877715, ""FL_ecearth6_ssp245_2cal_03434"": 0.6248321723693095, ""FL_ecearth6_ssp245_2cal_00291"": 0.8097244443427967}",493351659.1570256,212651498.94892073,280700160.20810485,64524915.76754571,69986316.86681765,0.0,70461986.48450327,7678279.830054115,64524915.76754571,69986316.86681765,31052396.81687771,249647763.39122716,14.28230455430097,1.5563502600100199,13.078888977042743,14.1858886187595,6.294170950987772,50.602396638898995,70461986.48450327,7678279.830054115,31052396.81687771,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,5895766.824606021,0.0,539937478.65,359958319.1,0.0,31052396.81687771,31052396.81687771,1395853723.0,31052396.81687771,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,18140266.31455739,0.0,1,9464500000.0,9464500000.0,12
year_13,baseline,,"FL_ecearth6_ssp245_2cal_03272,FL_ecearth6_ssp245_2cal_03974,FL_ecearth6_ssp245_2cal_01449,FL_ecearth6_ssp245_2cal_03518","{""FL_ecearth6_ssp245_2cal_03272"": 0.889439579966157, ""FL_ecearth6_ssp245_2cal_03974"": 0.8301155163522366, ""FL_ecearth6_ssp245_2cal_01449"": 0.8713915124517295, ""FL_ecearth6_ssp245_2cal_03518"": 0.8497644364315011}",5566104.846142929,4620509.9984266255,945594.8477163039,2026188.7282372897,1303695.8601595408,0.0,1202153.9205242763,88471.48950551871,2026188.7282372897,1303695.8601595408,14377.719678940151,931217.1280373636,21.597759182659257,1.5894686131689675,36.402273838613574,23.42205000078189,0.2583084594409552,16.730139905335363,1202153.9205242763,88471.48950551871,14377.719678940151,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,88471.48950551871,0.0,539937478.65,359958319.1,0.0,14377.719678940151,14377.719678940151,1395853723.0,14377.719678940151,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,13
year_14,baseline,,"FL_ecearth6_ssp245_2cal_02742,FL_ecearth6_ssp245_2cal_03902,FL_ecearth6_ssp245_2cal_02053,FL_ecearth6_ssp245_2cal_01169,FL_ecearth6_ssp245_2cal_02179","{""FL_ecearth6_ssp245_2cal_02742"": 0.9635663678612796, ""FL_ecearth6_ssp245_2cal_03902"": 0.9860642054961837, ""FL_ecearth6_ssp245_2cal_02053"": 0.9259340934712508, ""FL_ecearth6_ssp245_2cal_01169"": 0.8830214212200705, ""FL_ecearth6_ssp245_2cal_02179"": 0.8586112014298478}",16681557893.278168,15857798579.005838,823759314.272329,2389314971.055443,6250403306.93842,0.0,6581287168.777316,636793132.2346591,2389314971.055443,6250403306.93842,105199730.59806933,718559583.6742597,39.4524732694735,3.817348093676879,14.32309252134189,37.46894233096191,0.6306349279311588,4.307508856614664,6581287168.777316,636793132.2346591,105199730.59806933,11,7,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Homeowners Choice P&C Ins Co.;Edison Insurance Co.,167719793.89983624,4,24.95048899234104,136986256.8305214,0.0,0,1.0,0.0,295347863.46880573,0.0,539937478.65,412703.75125563145,539937478.65,359958319.1,0.0,105199730.59806933,105199730.59806933,1395853723.0,105199730.59806933,0.0,False,21032561.029097762,21032561.029097762,0.0,1.0,21032561.029097762,0.0,1460725920.786047,0.0,10,9464500000.0,9464500000.0,14
year_15,baseline,,"FL_ecearth6_ssp245_2cal_02581,FL_ecearth6_ssp245_2cal_00812,FL_ecearth6_ssp245_2cal_03361,FL_ecearth6_ssp245_2cal_03312","{""FL_ecearth6_ssp245_2cal_02581"": 0.8159666721411533, ""FL_ecearth6_ssp245_2cal_00812"": 0.8360809197568297, ""FL_ecearth6_ssp245_2cal_03361"": 0.6261071097887436, ""FL_ecearth6_ssp245_2cal_03312"": 0.889475820654995}",133648509875.06293,83678282245.448,49970227629.61494,20205106852.174877,34174530686.17279,0.0,27411393219.25655,1887251487.8437786,20205106852.174877,34174530686.17279,4598416868.542483,45371810761.07244,20.51006273461726,1.412100658367247,15.118093625632625,25.570453960257222,3.440679490434399,33.94860953069124,27411393219.25655,1887251487.8437786,4598416868.542483,24,16,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Auto Club Insurance Co. of FL;American Platinum P&C Ins Co.;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;ACE Ins Co. of the Midwest;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;American Platinum P&C Ins Co.,1691821385.51688,8,34.139892835311265,1097604562.3400378,957777.0116429329,1,0.9811320754716981,3813543074.580045,322826880.0,887535138.4019965,539937478.65,359958319.1,539937478.65,359958319.1,1157416868.5424833,4598416868.542483,3441000000.0,1395853723.0,1395853723.0,0.0,False,8690622742.831013,8690622742.831013,0.0,1.0,8690622742.831013,0.0,2119267314.7508936,0.0,13,9464500000.0,9464500000.0,15
year_16,baseline,,"FL_ecearth6_ssp245_2cal_02529,FL_ecearth6_ssp245_2cal_03857,FL_ecearth6_ssp245_2cal_01812,FL_ecearth6_ssp245_2cal_00196,FL_ecearth6_ssp245_2cal_00082,FL_ecearth6_ssp245_2cal_03554","{""FL_ecearth6_ssp245_2cal_02529"": 0.8932662200989882, ""FL_ecearth6_ssp245_2cal_03857"": 0.8315595129381237, ""FL_ecearth6_ssp245_2cal_01812"": 0.7885301595074504, ""FL_ecearth6_ssp245_2cal_00196"": 0.9015749614461065, ""FL_ecearth6_ssp245_2cal_00082"": 0.7665933579273354, ""FL_ecearth6_ssp245_2cal_03554"": 0.9483831879297256}",5617.039490869035,5327.105819077538,289.93367179149703,1673.2744671512737,1700.1224460414398,0.0,1754.67707520049,199.03183068433492,1673.2744671512737,1700.1224460414398,38.18605418482208,251.74761760667494,31.238467845078592,3.543358222919346,29.78925944657004,30.267233278404582,0.6798252753411596,4.481855931686285,1754.67707520049,199.03183068433492,38.18605418482208,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,199.03183068433492,0.0,539937478.65,359958319.1,0.0,38.18605418482208,38.18605418482208,1395853723.0,38.18605418482208,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,16
